company,ticker,negative,neutral,positive,netsent,stockb,stocka,category
Costco Wholesale,COST,2,6,8,2.5200000780820844,357.8400,369.7500,Increase
Costco Wholesale,COST,2,9,5,0.1400000630319116,349.7700,357.8400,Increase
Costco Wholesale,COST,6,5,5,-0.5900000250339519,339.6200,349.7700,Increase
Costco Wholesale,COST,1,8,7,1.4199999462068083,344.8400,339.6200,Decrease
CSX,CSX,5,6,5,-0.9300000090897071,77.8700,78.9400,Increase
CSX,CSX,3,9,4,1.2199999834597115,79.7200,77.8700,Decrease
CSX,CSX,1,12,1,0.6499999977648248,78.7600,79.7200,Increase
CSX,CSX,0,11,4,1.3800001044571415,79.3900,78.7600,Decrease
Cognizant Technology Solutions,CTSH,0,8,8,2.1500000424683097,69.3500,74.0600,Increase
Cognizant Technology Solutions,CTSH,0,14,2,0.5000000081956387,69.6500,69.3500,Decrease
Cognizant Technology Solutions,CTSH,1,12,3,0.5000000372529037,68.1700,69.6500,Increase
Cognizant Technology Solutions,CTSH,1,12,3,0.3700000281631952,69.5800,68.1700,Decrease
Dollar Tree,DLTR,3,6,7,1.650000008940698,91.9200,94.7300,Increase
Dollar Tree,DLTR,2,9,5,1.010000004768371,91.3845,91.9200,Increase
Dollar Tree,DLTR,0,13,3,0.9800000239908697,87.6700,91.3845,Increase
Dollar Tree,DLTR,4,9,3,-0.9199999156594278,90.8589,87.6700,Decrease
Electronic Arts,EA,1,10,5,1.0100000189244764,132.2400,128.4400,Decrease
Electronic Arts,EA,3,7,6,1.2300000053644191,133.8500,132.2400,Decrease
Electronic Arts,EA,2,8,6,1.6999999545514586,128.4700,133.8500,Increase
Electronic Arts,EA,2,10,4,-0.2799999994039534,128.0100,128.4700,Increase
eBay,EBAY,6,8,2,-1.7100000293552873,52.4299,55.8600,Increase
eBay,EBAY,3,12,1,-1.3000000327825547,54.3600,52.4299,Decrease
eBay,EBAY,9,4,3,-2.2399999661743633,50.2350,54.3600,Increase
eBay,EBAY,3,11,2,-1.5700000400841234,53.5800,50.2350,Decrease
Exelon,EXC,2,4,7,0.8200000162422661,36.1950,40.6200,Increase
Exelon,EXC,3,6,3,-0.3999999895691868,36.2300,36.1950,Decrease
Exelon,EXC,1,4,5,0.4300000485777864,34.7850,36.2300,Increase
Exelon,EXC,1,11,4,1.180000014305115,36.4900,34.7850,Decrease
Expedia,EXPE,3,10,3,0.07999992042780124,92.5100,97.4900,Increase
Expedia,EXPE,1,7,8,1.9200000683963305,95.2587,92.5100,Decrease
Expedia,EXPE,3,6,7,2.2899999326467513,92.3799,95.2587,Increase
Expedia,EXPE,2,8,6,3.0599999511241918,96.5300,92.3799,Decrease
